ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090825.622530,forward,cv,1823.4258270263672,381.0718095302582,603.4358024597168,262.06560730934143,0.9390766024589539,0.8213391900062561
1770090825.654106,forward,cv,1823.4258270263672,381.0718095302582,603.4358024597168,262.06560730934143,0.9390766024589539,0.8213391900062561
1770090825.687789,forward,cv,1823.4258270263672,381.0718095302582,603.4358024597168,262.06560730934143,0.9390766024589539,0.8213391900062561
1770090825.723347,forward,cv,1825.089111328125,378.53625297546387,589.0917205810547,264.23319160938263,0.9441585540771484,0.8385173082351685
1770090825.757112,forward,cv,1825.254249572754,378.61836075782776,589.7146797180176,263.25937271118164,0.9476683735847473,0.8530298471450806
1770090825.790442,forward,cv,1825.254249572754,378.61836075782776,589.7146797180176,263.25937271118164,0.9476683735847473,0.8530298471450806
1770090825.819006,forward,cv,1825.1615524291992,378.49363803863525,609.6706581115723,266.58098816871643,0.9509049654006958,0.8664836287498474
1770090825.857109,forward,cv,1825.1615524291992,378.49363803863525,609.6706581115723,266.58098816871643,0.9509049654006958,0.8664836287498474
1770090825.887388,forward,cv,1825.1615524291992,378.49363803863525,609.6706581115723,266.58098816871643,0.9509049654006958,0.8664836287498474
1770090825.923773,forward,cv,1828.0357360839844,382.7683925628662,609.0113067626953,268.45480620861053,0.9471981525421143,0.8709245324134827
1770090825.957111,forward,cv,1829.670524597168,386.2939417362213,612.2321891784668,269.2068761587143,0.9509150385856628,0.8826508522033691
1770090825.990468,forward,cv,1829.670524597168,386.2939417362213,612.2321891784668,269.2068761587143,0.9509150385856628,0.8826508522033691
1770090826.024061,forward,cv,1819.2860412597656,392.02211022377014,607.511100769043,300.42983293533325,0.9456380605697632,0.8864870071411133
1770090826.057110,forward,cv,1819.2860412597656,392.02211022377014,607.511100769043,300.42983293533325,0.9456380605697632,0.8864870071411133
1770090826.090667,forward,cv,1819.2860412597656,392.02211022377014,607.511100769043,300.42983293533325,0.9456380605697632,0.8864870071411133
1770090826.118928,forward,cv,1820.5359649658203,398.5504674911499,605.8837509155273,334.1564655303955,0.9483238458633423,0.8964061141014099
1770090826.157109,forward,cv,1820.8003234863281,426.06587648391724,605.8033561706543,340.5731999874115,0.9498121738433838,0.903947651386261
1770090826.185875,forward,cv,1820.8003234863281,426.06587648391724,605.8033561706543,340.5731999874115,0.9498121738433838,0.903947651386261
1770090826.223786,forward,cv,1829.0639877319336,468.15021872520447,618.8721656799316,381.65406346321106,0.9540245532989502,0.9128788113594055
1770090826.252283,forward,cv,1829.0639877319336,468.15021872520447,618.8721656799316,381.65406346321106,0.9540245532989502,0.9128788113594055
1770090826.290325,forward,cv,1829.0639877319336,468.15021872520447,618.8721656799316,381.65406346321106,0.9540245532989502,0.9128788113594055
1770090826.323156,stop,cv,1827.6874923706055,546.8770337104797,618.3136940002441,469.52062368392944,0.957793653011322,0.9210073351860046
1770090826.357111,stop,cv,1829.183235168457,631.7200255393982,593.6374855041504,538.7285041809082,0.9608542919158936,0.9280232191085815
1770090826.390047,stop,cv,1829.183235168457,631.7200255393982,593.6374855041504,538.7285041809082,0.9608542919158936,0.9280232191085815
1770090826.420616,stop,cv,1805.0617218017578,729.1628766059875,592.371883392334,611.8391919136047,0.9630669951438904,0.9342281222343445
1770090826.456917,stop,cv,1805.0617218017578,729.1628766059875,592.371883392334,611.8391919136047,0.9630669951438904,0.9342281222343445
1770090826.486791,stop,cv,1806.0115814208984,837.8840088844299,560.6228828430176,701.8342137336731,0.9658875465393066,0.9400530457496643
1770090826.522654,stop,cv,1806.0115814208984,837.8840088844299,560.6228828430176,701.8342137336731,0.9658875465393066,0.9400530457496643
1770090826.552629,stop,cv,1806.5132904052734,945.7197546958923,532.1309852600098,843.6264681816101,0.9672268629074097,0.944678783416748
1770090826.586012,stop,cv,1806.5132904052734,945.7197546958923,532.1309852600098,843.6264681816101,0.9672268629074097,0.944678783416748
1770090826.619872,stop,cv,1807.0725631713867,1004.9073314666748,415.80451011657715,1714.0453720092773,0.9570393562316895,0.8817872405052185
1770090826.657109,stop,cv,1807.0725631713867,1004.9073314666748,415.80451011657715,1714.0453720092773,0.9570393562316895,0.8817872405052185
1770090826.690440,stop,cv,1807.0725631713867,1004.9073314666748,415.80451011657715,1714.0453720092773,0.9570393562316895,0.8817872405052185
1770090826.723776,stop,cv,1362.3478317260742,1822.4034404754639,436.3209056854248,1870.5435132980347,0.8740572929382324,0.8021079301834106
1770090826.757045,stop,cv,1285.4413604736328,1637.1107339859009,438.5240077972412,1603.6134624481201,0.8032302856445312,0.7403087615966797
1770090826.789570,stop,cv,1285.4413604736328,1637.1107339859009,438.5240077972412,1603.6134624481201,0.8032302856445312,0.7403087615966797
